[2025-12-05T18:25:28.246971] [INFO] Rapport généré - Score: 100/100, Anomalies: 0 | Data: {"health_score": 100, "anomalies_count": 0, "timestamp": "2025-12-05T18:25:28.246935"}
[2025-12-05T18:25:46.934503] [INFO] Rapport généré - Score: 100/100, Anomalies: 0 | Data: {"health_score": 100, "anomalies_count": 0, "timestamp": "2025-12-05T18:25:46.934479"}
[2025-12-05T18:26:25.940066] [INFO] Rapport généré - Score: 100/100, Anomalies: 2 | Data: {"health_score": 100, "anomalies_count": 2, "timestamp": "2025-12-05T18:26:25.940037", "anomalies_summary": [{"type": "process_cpu_high", "severity": "warning", "message": "Processus gourmand CPU: System Idle Process (1453.5%)"}, {"type": "system_interrupts_high", "severity": "info", "message": "Nombre \u00e9lev\u00e9 d'interruptions syst\u00e8me: 233,649,362"}]}
[2025-12-05T18:26:33.923368] [INFO] Rapport généré - Score: 100/100, Anomalies: 2 | Data: {"health_score": 100, "anomalies_count": 2, "timestamp": "2025-12-05T18:26:33.923351", "anomalies_summary": [{"type": "process_cpu_high", "severity": "warning", "message": "Processus gourmand CPU: System Idle Process (1452.5%)"}, {"type": "system_interrupts_high", "severity": "info", "message": "Nombre \u00e9lev\u00e9 d'interruptions syst\u00e8me: 233,756,524"}]}
[2025-12-05T18:26:41.847328] [INFO] Rapport généré - Score: 100/100, Anomalies: 2 | Data: {"health_score": 100, "anomalies_count": 2, "timestamp": "2025-12-05T18:26:41.847312", "anomalies_summary": [{"type": "process_cpu_high", "severity": "warning", "message": "Processus gourmand CPU: System Idle Process (1437.7%)"}, {"type": "system_interrupts_high", "severity": "info", "message": "Nombre \u00e9lev\u00e9 d'interruptions syst\u00e8me: 233,866,574"}]}
[2025-12-05T18:26:49.761500] [INFO] Rapport généré - Score: 100/100, Anomalies: 2 | Data: {"health_score": 100, "anomalies_count": 2, "timestamp": "2025-12-05T18:26:49.761479", "anomalies_summary": [{"type": "process_cpu_high", "severity": "warning", "message": "Processus gourmand CPU: System Idle Process (1454.7%)"}, {"type": "system_interrupts_high", "severity": "info", "message": "Nombre \u00e9lev\u00e9 d'interruptions syst\u00e8me: 233,976,056"}]}
[2025-12-05T18:26:57.696899] [INFO] Rapport généré - Score: 100/100, Anomalies: 2 | Data: {"health_score": 100, "anomalies_count": 2, "timestamp": "2025-12-05T18:26:57.696882", "anomalies_summary": [{"type": "process_cpu_high", "severity": "warning", "message": "Processus gourmand CPU: System Idle Process (1451.5%)"}, {"type": "system_interrupts_high", "severity": "info", "message": "Nombre \u00e9lev\u00e9 d'interruptions syst\u00e8me: 234,083,755"}]}
[2025-12-05T18:27:12.589516] [INFO] Rapport généré - Score: 100/100, Anomalies: 2 | Data: {"health_score": 100, "anomalies_count": 2, "timestamp": "2025-12-05T18:27:12.589498", "anomalies_summary": [{"type": "process_cpu_high", "severity": "warning", "message": "Processus gourmand CPU: System Idle Process (1454.7%)"}, {"type": "system_interrupts_high", "severity": "info", "message": "Nombre \u00e9lev\u00e9 d'interruptions syst\u00e8me: 234,276,728"}]}
[2025-12-09T18:25:57.547589] [INFO] Rapport généré - Score: 99/100, Anomalies: 1 | Data: {"health_score": 99, "anomalies_count": 1, "timestamp": "2025-12-09T18:25:57.545967", "anomalies_summary": [{"type": "system_interrupts_high", "severity": "info", "message": "Nombre \u00e9lev\u00e9 d'interruptions syst\u00e8me: 391,179,288"}]}
[2025-12-09T18:26:05.967783] [INFO] Rapport généré - Score: 99/100, Anomalies: 2 | Data: {"health_score": 99, "anomalies_count": 2, "timestamp": "2025-12-09T18:26:05.967131", "anomalies_summary": [{"type": "process_cpu_high", "severity": "warning", "message": "Processus gourmand CPU: System Idle Process (1469.0%)"}, {"type": "system_interrupts_high", "severity": "info", "message": "Nombre \u00e9lev\u00e9 d'interruptions syst\u00e8me: 391,275,032"}]}
[2025-12-09T18:26:14.189703] [INFO] Rapport généré - Score: 99/100, Anomalies: 2 | Data: {"health_score": 99, "anomalies_count": 2, "timestamp": "2025-12-09T18:26:14.189687", "anomalies_summary": [{"type": "process_cpu_high", "severity": "warning", "message": "Processus gourmand CPU: System Idle Process (1494.3%)"}, {"type": "system_interrupts_high", "severity": "info", "message": "Nombre \u00e9lev\u00e9 d'interruptions syst\u00e8me: 391,342,022"}]}
